Title;Year;Rated;Runtime;Genre;Director;Writer;Actors;Plot;Language;Country;imdbRating;BoxOffice;Production
The Ballad of Jack and Rose;2005;R;112;Drama;Rebecca Miller;Rebecca Miller;Camilla Belle, Daniel Day-Lewis, Catherine Keener, Ryan McDonald;A father and daughter isolated on an island off the East Coast and living on a once-thriving commune grapple with the limits of family and sexuality.;English;USA;6.7;578570;IFC Films
Dark Water;2005;PG-13;105;Drama, Horror, Thriller;Walter Salles;Kôji Suzuki (novel), Hideo Nakata (film Honogurai mizu no soko kara), Takashige Ichise (film Honogurai mizu no soko kara), Rafael Yglesias (screenplay);Jennifer Connelly, John C. Reilly, Tim Roth, Dougray Scott;A mother and daughter, still wounded from a bitter custody dispute, hole up in a run-down apartment building. Adding further drama to their plight, they are targeted by the ghost of former resident.;English;USA;5.6;25416400;Buena Vista
The Protector;2005;R;111;Action, Crime, Drama;Prachya Pinkaew;Napalee, Piyaros Thongdee, Joe Wannapin, Kongdej Jaturanrasamee, Prachya Pinkaew (story);Tony Jaa, Petchtai Wongkamlao, Bongkoj Khongmalai, Xing Jin;A young fighter named Kham must go to Australia to retrieve his stolen elephant. With the help of a Thai-born Australian detective, Kham must take on all comers, including a gang led by an evil woman and her two deadly bodyguards.;Thai, English, Mandarin, Vietnamese;Thailand, USA, Hong Kong, France;7.1;11905519;The Weinstein Company
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;2005;PG;143;Adventure, Family, Fantasy;Andrew Adamson;Ann Peacock (screenplay), Andrew Adamson (screenplay), Christopher Markus (screenplay), Stephen McFeely (screenplay), C.S. Lewis (book);Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell;Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.;English, German;USA, UK;6.9;291685219;Buena Vista
Syriana;2005;R;128;Drama, Thriller;Stephen Gaghan;Stephen Gaghan, Robert Baer (book);Kayvan Novak, George Clooney, Amr Waked, Christopher Plummer;A politically charged epic about the state of the oil industry in the hands of those personally involved and affected by it.;English, Urdu, Arabic, Persian, French, Mandarin;USA, United Arab Emirates;7.0;50800000;Warner Bros. Pictures
Down in the Valley;2005;R;114;Drama, Romance, Thriller;David Jacobson;David Jacobson;Edward Norton, Evan Rachel Wood, David Morse, Rory Culkin;Set in the present-day San Fernando Valley, the project revolves around a delusional man who believes he's a cowboy and the relationship that he starts with a rebellious young woman.;English;USA;6.4;444655;ThinkFilm
Neal 'N' Nikki;2005;NULL;122;Comedy, Musical, Romance;Arjun Sablok;Arjun Sablok (story and screenplay), Arjun Sablok (dialogue), Anvita Dutt Guptan (additional screenplay), Anvita Dutt Guptan (dialogue);Uday Chopra, Tanishaa Mukerji, Abhishek Bachchan, Richa Pallod;Take a joyride with Neal and Nikki as they travel all across Canada to find what they want most. And it's going to be quite a trip.;English, Hindi, French;India;3.3;100358;Yash Raj Films
The Proposition;2005;R;104;Crime, Drama, Western;John Hillcoat;Nick Cave (screenplay);Richard Wilson, Noah Taylor, Jeremy Madrona, Jae Mamuyac;A lawman apprehends a notorious outlaw and gives him nine days to kill his older brother, or else they'll execute his younger brother.;English, Aboriginal;Australia, UK;7.4;1705229;First Look Pictures
Get Rich or Die Tryin';2005;R;117;Biography, Crime, Drama;Jim Sheridan;Terence Winter;50 Cent, Adewale Akinnuoye-Agbaje, Joy Bryant, Omar Benson Miller;A tale of an inner city drug dealer who turns away from crime to pursue his passion, rap music.;English, Spanish;USA, Canada;5.1;30885034;Paramount Pictures
Joyeux Noel;2005;PG-13;116;Drama, History, Music;Christian Carion;Christian Carion;Diane Kruger, Natalie Dessay, Benno Fürmann, Rolando Villazón;In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life.;French, German, English, Latin;France, Germany, UK, Belgium, Romania, Norway, Japan, USA;7.8;913127;Sony Pictures Classics
The Man;2005;PG-13;83;Action, Comedy, Crime;Les Mayfield;Jim Piddock (screenplay), Margaret Oberman (screenplay), Stephen Carpenter (screenplay), Jim Piddock (story), Margaret Oberman (story);Samuel L. Jackson, Eugene Levy, Miguel Ferrer, Luke Goss;Special Agent Derrick Vann is a man out to get the man who killed his partner but a case of mistaken identity leads him to Andy Fidler, a salesman with too many questions and a knack of getting in Vanns way.;English;Germany, USA;5.5;8300000.00;New Line Cinema
The Exorcism of Emily Rose;2005;PG-13;119;Drama, Horror, Thriller;Scott Derrickson;Paul Harris Boardman, Scott Derrickson;Laura Linney, Tom Wilkinson, Campbell Scott, Jennifer Carpenter;A lawyer takes on a negligent homicide case involving a priest who performed an exorcism on a young girl.;English, Syriac, German, Greek, Hebrew, Latin, Aramaic;USA;6.7;NULL;Dimension Films
Athadu;2005;NOT RATED;172;Action, Comedy, Musical;Trivikram Srinivas;Trivikram Srinivas;Mahesh Babu, Trisha Krishnan, Prakash Raj, Sonu Sood;A gunman for hire is framed for murder, and assumes a dead man's identity while hiding from the police.;Telugu, Hindi;India;8.4;NULL;Sri Jayabheri Art Productions
Fateless;2005;R;140;Drama, Romance, War;Lajos Koltai;Imre Kertész (novel), Imre Kertész (screenplay);Marcell Nagy, Béla Dóra, Bálint Péntek, Áron Dimény;14-year-old György's life is torn apart in World War II Hungary as he is sent to a concentration camp where he is forced to become a man, and learns to find happiness in the midst of hatred, and what it really means to be Jewish.;Hungarian, German, English, Yiddish, Hebrew, Polish;Hungary, Germany, UK, Israel, France;7.0;NULL;ThinkFilm
London;2005;R;92;Drama, Romance;Hunter Richards;Hunter Richards;Chris Evans, Jessica Biel, Joy Bryant, Jason Statham;London is a drug laden adventure that centers on a party in a New York loft where a young man is trying to win back his ex-girlfriend.;English;UK, USA;6.6;NULL;Samuel Goldwyn Films
Anniyan;2005;NULL;157;Action, Drama, Horror;S. Shankar;S. Shankar (screenplay), S. Shankar (story), S. Shankar, Sujatha (dialogue);Vikram, Sada, Prakash Raj, Vivek;A disillusioned everyman, frustrated with the corruption he sees all around him, develops multiple personalities in order to restore justice.;Tamil, Telugu, French, Hindi, Hindi;India;8.2;NULL;Aascar Films
Parineeta;2005;NULL;130;Drama, Musical, Romance;Pradeep Sarkar;Saratchandra Chatterjee (novel), Vidhu Vinod Chopra (screenplay), Rekha Nigam (dialogue), Pradeep Sarkar (screenplay);Saif Ali Khan, Vidya Balan, Sanjay Dutt, Dia Mirza;The lifelong romance between Lolita (Balan) and Shekar (Khan) is upset by the arrival of another man.;Hindi;India;7.3;750846;Vinod Chopra Prod.
Mr. & Mrs. Smith;2005;PG-13;120;Action, Comedy, Crime;Doug Liman;Simon Kinberg;Brad Pitt, Angelina Jolie, Vince Vaughn, Adam Brody;A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other.;English, Spanish;USA;6.5;186200000;20th Century Fox
The Adventures of Sharkboy and Lavagirl 3-D;2005;PG;93;Action, Adventure, Family;Robert Rodriguez;Robert Rodriguez, Marcel Rodriguez, Racer Rodriguez (story);Taylor Lautner, Taylor Dooley, Cayden Boyd, George Lopez;A young boy is recruited by his imaginary friends Sharkboy and Lavagirl to help save their planet.;English;USA;3.5;NULL;Miramax
Insomnia Manica;2005;NULL;127;Thriller;Daston Kalili;Daston Kalili;Rai Alexandra, Gregory Searrao Bach, Chin-Chien Chang, Saul Dapsis;A fast paced psychological thrill ride combining relentless and cutting edge filmmaking make Insomnia Manica a gripping neo-noir tale of a young group of vigilante thieves who choose to ...;English;USA;5.3;NULL;NULL
Harsh Times;2005;R;116;Action, Crime, Drama;David Ayer;David Ayer;Christian Bale, Freddy Rodríguez, Eva Longoria, Chaka Forman;A tough-minded drama about two friends in South Central Los Angeles and the violence that comes between them.;English, Spanish, Korean;USA;6.9;3304691;MGM
Sisters in Law;2005;NOT RATED;104;Documentary;Florence Ayisi, Kim Longinotto;NULL;Vera Ngassa, Beatrice Ntuba;Set in Kumba in South West Cameroon Sisters in Law follows Adultery, Rape and Abuse cases led by a Female Judge.;English;Cameroon, UK;7.5;NULL;Women Make Movies
Hitch;2005;PG-13;118;Comedy, Romance;Andy Tennant;Kevin Bisch;Will Smith, Eva Mendes, Kevin James, Amber Valletta;"While helping his latest client woo the fine lady of his dreams, a professional """"date doctor"""" finds that his game doesn't quite work on the gossip columnist with whom he's smitten.";English;USA;6.6;177575142;Sony Pictures
Pooh's Heffalump Movie;2005;G;68;Animation, Comedy, Family;Frank Nissen;Brian Hohlfeld (screenplay), Evan Spiliotopoulos (screenplay), A.A. Milne (characters);Jim Cummings, John Fiedler, Nikita Hopkins, Kath Soucie;A heffalump is heard trumpeting in the hundred acre woods. Winnie the Pooh, Tigger, and Piglet are scared and rush to Rabbit's house for advice. Roo joins them and they all agree that ...;English;USA;6.4;18013938;Buena Vista
Robots;2005;PG;91;Animation, Adventure, Comedy;Chris Wedge, Carlos Saldanha;Ron Mita (story), Jim McClain (story), David Lindsay-Abaire (story), David Lindsay-Abaire (screenplay), Lowell Ganz (screenplay), Babaloo Mandel (screenplay);Paula Abdul, Halle Berry, Lucille Bliss, Terry Bradshaw;In a robot world, a young idealistic inventor travels to the big city to join his inspiration's company, only to find himself opposing its sinister new management.;English, Italian;USA;6.3;128107031;20th Century Fox
Hostage;2005;R;113;Action, Crime, Drama;Florent-Emilio Siri;Robert Crais (novel), Doug Richardson (screenplay);Bruce Willis, Kevin Pollak, Jimmy Bennett, Michelle Horn;A failed police negotiator turned small-town cop, must save the lives of a family held hostage, which draws him into a much more dangerous situation.;English;USA, Germany;6.6;34617915;Miramax
Zathura: A Space Adventure;2005;PG;101;Action, Adventure, Comedy;Jon Favreau;Chris Van Allsburg (book), David Koepp (screenplay), John Kamps (screenplay);Jonah Bobo, Josh Hutcherson, Dax Shepard, Kristen Stewart;Two young brothers are drawn into an intergalactic adventure when their house is hurled through the depths of space by the magical board game they are playing.;English;USA;6.1;28045540;Sony Pictures
Derailed;2005;R;108;Crime, Drama, Thriller;Mikael Håfström;Stuart Beattie (screenplay), James Siegel (novel);Vincent Cassel, Clive Owen, Addison Timlin, Melissa George;When two married business executives having an affair are blackmailed by a violent criminal, the two must turn the tables on him to save their families.;English, French;USA, UK;6.6;35945749;The Weinstein Company
The Dark Hours;2005;R;80;Horror, Thriller;Paul Fox;Wil Zmak;Kate Greenhouse, Bruce McFee, Jeff Seymour, David Calderisi;The thirty and something years old psychiatrist Dr. Samantha Goodman has an incurable brain tumor that has just started to grow. Felling totally stressed, she decides to spend the weekend ...;English;Canada;6.1;NULL;Fabrication Films
The Great Raid;2005;R;132;Action, Drama, War;John Dahl;William B. Breuer (book), Hampton Sides (book), Carlo Bernard (screenplay), Doug Miro (screenplay);Benjamin Bratt, James Franco, Robert Mammone, Max Martini;Taking place towards the end of WWII, 500 American Soldiers have been entrapped in a camp for 3 years. Beginning to give up hope they will ever be rescued, a group of Rangers goes on a dangerous mission to try and save them.;Filipino, English, Tagalog, Japanese;USA, Australia;6.7;10074830;Miramax Films
The Skeleton Key;2005;PG-13;104;Horror, Mystery, Thriller;Iain Softley;Ehren Kruger;Kate Hudson, Gena Rowlands, John Hurt, Peter Sarsgaard;A hospice nurse working at a spooky New Orleans plantation home finds herself entangled in a mystery involving the house's dark past.;English, French;USA, Germany;6.5;47729605;Universal Pictures
Four Brothers;2005;R;109;Action, Crime, Drama;John Singleton;David Elliot, Paul Lovett;Mark Wahlberg, Tyrese Gibson, André Benjamin, Garrett Hedlund;Four brothers look to avenge their mother's death.;English;USA;6.9;NULL;The Orchard
Deuce Bigalow: European Gigolo;2005;R;83;Comedy;Mike Bigelow;Harris Goldberg (characters), Rob Schneider (characters), Rob Schneider (story), Rob Schneider (screenplay), David Garrett (screenplay), Jason Ward (screenplay);Rob Schneider, Eddie Griffin, Jeroen Krabbé, Til Schweiger;Deuce is tricked again into man-whoring by T.J., only in Amsterdam while other man-whores are being murdered in his midst.;English, Dutch;USA;4.6;22264487;Sony
Cavite;2005;NOT RATED;80;Thriller;Neill Dela Llana, Ian Gamazon;Neill Dela Llana, Ian Gamazon;Ian Gamazon, Edwin Lagda, Edgar Tancangco, Norma Tancangco;Flying back to his home country, an American man is informed that his mother and sister have been kidnapped and will be killed if he doesn't comply with certain demands.;English, Filipino, Tagalog;Philippines, USA;6.3;NULL;Gorilla Films
Goal! The Dream Begins;2005;PG-13;118;Drama, Romance, Sport;Danny Cannon;Mike Jefferies (story), Adrian Butchart (screenplay), Dick Clement (screenplay), Ian La Frenais (screenplay), Mike Jefferies (screenplay);Leonardo Guerra, Tony Plana, Miriam Colon, Kuno Becker;The extremely talented Santiago Munez is given a chance at professional football, after being spotted by a scout who has ties with Newcastle United.;English, Spanish;USA, UK;6.8;4205160;Buena Vista Pictures
Slow Burn;2005;R;93;Drama, Mystery, Thriller;Wayne Beach;Wayne Beach (screenplay), Wayne Beach (story), Anthony Walton (story);Ray Liotta, LL Cool J, Mekhi Phifer, Jolene Blalock;A district attorney is involved in a 24-hour showdown with a gang leader and is, at the same time, being manipulated by an attractive assistant district attorney and a cryptic stranger.;English;USA;5.9;1181197;Lions Gate Films
Hoodwinked!;2005;PG;80;Animation, Action, Comedy;Cory Edwards, Todd Edwards, Tony Leech;Cory Edwards (screenplay), Todd Edwards (screenplay), Tony Leech (screenplay), Todd Edwards (story), Cory Edwards (story);Anne Hathaway, Glenn Close, Jim Belushi, Patrick Warburton;Little Red Riding Hood, the Wolf, the Woodsman, and Granny all tell the police the events that lead up to their encounter.;English, Spanish;USA;6.5;50802483;Weinstein Company
